Time (s),PID Joint 0 Angle (rad),SNN Joint 0 Angle (rad),PID Joint 0 Velocity (rad/s),SNN Joint 0 Velocity (rad/s)
6.79,0.7776616912110104,0.7765954888664522,0.00016121038401555737,0.014427932477278915
6.8,0.7776623629209438,0.7766556052517742,0.0007978787510738508,0.014427932477278915
6.8100000000000005,0.7776656874157399,0.7767157216370962,0.0014260202506258986,0.017313518972731146
6.82,0.7776716291667842,0.7767878612994826,0.0020455292948676172,-0.13850815178184916
6.83,0.7776801522055129,0.7762107440003916,0.002656304634609752,0.00865675948636735
6.84,0.7776912201414904,0.7762468138315848,0.00325824933784874,0.00865675948636735
6.8500000000000005,0.7777047961803981,0.776282883662778,0.0038512707671381798,0.00865675948636735
6.86,0.7777208431419279,0.7763189534939712,0.004435280555850171,0.16447843024094766
6.87,0.7777393234775772,0.7770042802866418,0.0050101945831754376,-0.1327369787909376
6.88,0.7777601992883405,0.7764512095416796,0.005575932948027142,0.011542345981823132
6.890000000000001,0.7777834323422906,0.7764993026499372,0.006132419941886513,0.014427932477278915
6.9,0.7778089840920485,0.7765594190352592,0.0066795840204501335,0.014427932477278915
6.91,0.7778368156921337,0.7766195354205812,0.007217357774291274,0.014427932477278915
6.92,0.7778668880161932,0.7766796518059031,0.007745677898480876,0.014427932477278915
6.93,0.7778991616741036,0.7767397681912251,0.008264485161107938,0.017313518972731146
6.94,0.7779335970289415,0.7768119078536115,0.00877372437093777,0.017313518972731146
6.95,0.7779701542138204,0.7768840475159979,0.009273344343954437,0.017313518972731146
6.96,0.778008793148587,0.7769561871783843,0.009763297869086935,0.02019910546818693
6.97,0.7780494735563748,0.7770403501178351,0.010243541672925117,0.02019910546818693
6.98,0.7780921549800119,0.7771245130572859,0.01071403638356181,0.02019910546818693
6.99,0.7781367967982767,0.7772086759967367,0.01117474649360439,0.02308469196364271
7.0,0.7781833582420001,0.7773048622132519,0.011625640322256948,0.02308469196364271
7.01,0.7782317984100096,0.7774010484297671,0.012066689976663948,0.02308469196364271
7.0200000000000005,0.7782820762849123,0.7774972346462823,0.012497871312365929,0.02308469196364271
7.03,0.7783341507487138,0.7775934208627975,0.012919163893045638,0.025970278459098495
7.04,0.7783879805982682,0.7777016303563771,0.01333055094949142,0.025970278459098495
7.05,0.7784435245605578,0.7778098398499567,0.013732019337834772,0.025970278459098495
7.0600000000000005,0.7785007413077988,0.7779180493435363,0.01412355949707364,0.028855864954554278
7.07,0.7785595894723699,0.7780382821141802,0.01450516540593388,0.028855864954554278
7.08,0.7786200276615614,0.7781585148848242,0.01487683453903961,0.028855864954554278
7.09,0.7786820144721407,0.7782787476554682,0.015238567822502668,0.03174145145001006
7.1000000000000005,0.7787455085047345,0.7784110037031766,0.015590369588826529,0.03174145145001006
7.11,0.7788104683780213,0.778543259750885,0.015932247531291258,0.03174145145001006
7.12,0.778876852742735,0.7786755157985934,0.01626421265773974,0.03174145145001006
7.13,0.7789446202954756,0.7788077718463018,0.01658627924381499,0.03462703794546229
7.140000000000001,0.7790137297923249,0.7789520511710746,0.01689846478571205,0.03462703794546229
7.15,0.7790841400622653,0.7790963304958474,0.017200789952391566,0.03462703794546229
7.16,0.7791558100204004,0.7792406098206202,0.017493278537363433,0.037512624440918074
7.17,0.7792286986809727,0.7793969124224573,0.01777595740999982,0.037512624440918074
7.18,0.779302765170181,0.7795532150242945,0.018048856466391743,0.037512624440918074
7.19,0.7793779687387911,0.7797095176261317,0.01831200857988809,-0.11542345981820645
7.2,0.7794542687745406,0.7792285865435559,0.018565449551141696,0.028855864954554278
7.21,0.779531624814337,0.7793488193141999,0.018809218057872598,0.028855864954554278
7.22,0.7796099965562449,0.7794690520848438,0.019043355604267675,0.028855864954554278
7.23,0.7796893438712627,0.7795892848554878,0.019267906470071372,0.03174145145001006
7.24,0.7797696268148879,0.7797215409031962,0.019482917659358667,0.03174145145001006
7.25,0.7798508056384685,0.7798537969509046,0.019688438849062784,0.03174145145001006
7.26,0.7799328408003396,0.779986052998613,0.01988452233723198,0.03174145145001006
7.2700000000000005,0.7800156929767448,0.7801183090463214,0.02007122299108173,0.03174145145001006
7.28,0.7800993230725409,0.7802505650940298,0.020248598194786145,0.03462703794546229
